TCGA-62-A471,(16000, 7, 7, 2048)
TCGA-67-3773,(608, 7, 7, 2048)
TCGA-NJ-A7XG,(2000, 7, 7, 2048)
TCGA-91-6848,(3000, 7, 7, 2048)
TCGA-55-6986,(5000, 7, 7, 2048)
TCGA-86-6851,(6000, 7, 7, 2048)
TCGA-73-4677,(14000, 7, 7, 2048)
TCGA-05-4245,(631, 7, 7, 2048)
TCGA-78-7540,(10000, 7, 7, 2048)
TCGA-55-7576,(1000, 7, 7, 2048)
TCGA-55-8615,(881, 7, 7, 2048)
TCGA-49-4501,(1000, 7, 7, 2048)
TCGA-86-7954,(3000, 7, 7, 2048)
TCGA-44-2655,(186, 7, 7, 2048)
TCGA-49-4505,(1000, 7, 7, 2048)
TCGA-97-8177,(27000, 7, 7, 2048)
TCGA-J2-A4AD,(20000, 7, 7, 2048)
TCGA-50-6592,(5000, 7, 7, 2048)
TCGA-86-8674,(9000, 7, 7, 2048)
TCGA-55-6981,(406, 7, 7, 2048)
TCGA-55-7284,(6000, 7, 7, 2048)
TCGA-91-6836,(1000, 7, 7, 2048)
TCGA-44-6146,(3000, 7, 7, 2048)
TCGA-62-A46P,(2000, 7, 7, 2048)
TCGA-86-7955,(390, 7, 7, 2048)
TCGA-50-6597,(14000, 7, 7, 2048)
TCGA-91-A4BD,(4000, 7, 7, 2048)
TCGA-67-3771,(991, 7, 7, 2048)
TCGA-38-4625,(7000, 7, 7, 2048)
TCGA-86-8054,(8000, 7, 7, 2048)
TCGA-50-5935,(3000, 7, 7, 2048)
TCGA-67-3776,(188, 7, 7, 2048)
TCGA-55-8089,(911, 7, 7, 2048)
TCGA-67-6217,(2000, 7, 7, 2048)
TCGA-50-6590,(2000, 7, 7, 2048)
TCGA-97-8179,(16000, 7, 7, 2048)
TCGA-38-4629,(817, 7, 7, 2048)
TCGA-50-5939,(5000, 7, 7, 2048)
TCGA-55-A48Y,(1000, 7, 7, 2048)
TCGA-97-8176,(572, 7, 7, 2048)
TCGA-50-5931,(3000, 7, 7, 2048)
TCGA-91-6829,(1000, 7, 7, 2048)
TCGA-49-6744,(20000, 7, 7, 2048)
TCGA-50-5072,(1000, 7, 7, 2048)
TCGA-MP-A4SW,(9000, 7, 7, 2048)
TCGA-78-7162,(1000, 7, 7, 2048)
TCGA-55-A48Z,(6000, 7, 7, 2048)
TCGA-78-8662,(21000, 7, 7, 2048)
TCGA-MN-A4N5,(14000, 7, 7, 2048)
TCGA-78-8640,(479, 7, 7, 2048)
TCGA-95-7562,(2000, 7, 7, 2048)
TCGA-73-4676,(35000, 7, 7, 2048)
TCGA-55-1596,(11990, 7, 7, 2048)
TCGA-64-1680,(4360, 7, 7, 2048)
TCGA-97-7552,(10900, 7, 7, 2048)
TCGA-69-7763,(1090, 7, 7, 2048)
TCGA-73-4670,(739, 7, 7, 2048)
TCGA-50-5944,(2180, 7, 7, 2048)
TCGA-64-5779,(11990, 7, 7, 2048)
